package,version,status
@clevertap/clevertap-expo-plugin,1.0.0,fail-baseline
@didit-protocol/sdk-react-native,4.7.5,fail-baseline
@domir/react-native-measure-text,0.1.9,fail-newdsl
@dynatrace/react-native-plugin,2.345.1,fail-baseline
@eabdullazyanov/react-native-sms-user-consent,1.3.0,pass
@embrace-io/react-native,7.1.0,fail-newdsl
@fugood/react-native-audio-pcm-stream,1.1.4,pass
@getcello/cello-react-native,0.13.0,fail-newdsl
@googlemaps/react-native-navigation-sdk,0.17.1,fail-baseline
@heap/heap-react-native-bridge,0.8.4,fail-newdsl
@howincodes/expo-dynamic-app-icon,3.0.2,pass
@ht-sdks/events-sdk-react-native,2.22.0,fail-baseline
@ht-sdks/sovran-react-native,1.2.0,fail-newdsl
@infinitered/react-native-mlkit-face-detection,5.0.0,fail-newdsl
@infinitered/react-native-mlkit-text-recognition,5.0.1,fail-newdsl
@jamsch/expo-speech-recognition,0.2.15,fail-baseline
@kesha-antonov/react-native-background-downloader,4.6.1,fail-newdsl
@kishannareshpal/expo-pdf,0.3.2,pass
@logicwind/react-native-exit-app,0.2.0,fail-newdsl
@lottiefiles/dotlottie-react-native,,fail-newdsl
@mattermost/react-native-paste-input,2.0.1,fail-newdsl
@mj-studio/react-native-naver-map,2.9.0,fail-baseline
@mykin-ai/expo-audio-stream,0.3.5,fail-baseline
@npm_fluentco/adflow-react-native-sdk,4.1.0,fail-newdsl
@onfido/react-native-sdk,16.4.0,fail-baseline
@optimove-inc/react-native,3.2.0,pass
@powersync/op-sqlite,,fail-newdsl
@prelude.so/react-native-sdk,0.6.1,fail-baseline
@react-native-community/image-editor,4.3.0,fail-newdsl
@react-native-firebase/app-distribution,26.3.3,fail-baseline
@react-native-firebase/dynamic-links,22.4.0,fail-baseline
@react-native-ml-kit/barcode-scanning,2.0.0,pass
@react-native-seoul/naver-login,5.0.1,fail-baseline
@react-native-vector-icons/entypo,,fail-newdsl
@react-native-vector-icons/evil-icons,,fail-newdsl
@react-native-vector-icons/fontello,,fail-baseline
@react-native-vector-icons/get-image,13.0.0,fail-newdsl
@react-native-vector-icons/lucide,,fail-newdsl
@react-native-vector-icons/octicons,,fail-newdsl
@riskified/react-native-riskified-sdk,1.4.1,fail-baseline
@rntp/player,5.9.2,fail-newdsl
@rnw-community/react-native-payments,2.17.1,fail-baseline
@rokt/react-native-sdk,5.1.2,fail-newdsl
@sayem314/react-native-keep-awake,2.0.0,pass
